review,sentiment,aspects
Not worth the price.,negative,price: negative
"Five stars, will buy again.",neutral,
"Five stars, will buy again.",neutral,
Arrived late but product is good.,neutral,
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
Terrible customer service.,neutral,
Battery life is too short.,negative,battery: negative
Quality could be better.,neutral,
"Excellent product, highly recommend!",neutral,
Battery life is too short.,negative,battery: negative
Terrible customer service.,neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,neutral,
"Absolutely love it, works perfectly.",neutral,
"Excellent product, highly recommend!",neutral,
Arrived late but product is good.,neutral,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",neutral,
"Five stars, will buy again.",neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Quality could be better.,neutral,
"Excellent product, highly recommend!",neutral,
"Excellent product, highly recommend!",neutral,
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
"Absolutely love it, works perfectly.",neutral,
Not worth the price.,negative,price: negative
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Terrible customer service.,neutral,
Arrived late but product is good.,neutral,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
"Five stars, will buy again.",neutral,
Not worth the price.,negative,price: negative
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Five stars, will buy again.",neutral,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
Doesn't match the description.,neutral,
"Five stars, will buy again.",neutral,
"Absolutely love it, works perfectly.",neutral,
Quality could be better.,neutral,
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
"Excellent product, highly recommend!",neutral,
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,neutral,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",neutral,
Terrible customer service.,neutral,
Amazing features and easy to use.,neutral,
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Arrived late but product is good.,neutral,
Terrible customer service.,neutral,
Not worth the price.,negative,price: negative
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
Arrived late but product is good.,neutral,
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Quality could be better.,neutral,
Battery life is too short.,negative,battery: negative
Terrible customer service.,neutral,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",neutral,
Terrible customer service.,neutral,
Amazing features and easy to use.,neutral,
Doesn't match the description.,neutral,
