review,sentiment,aspects
Not worth the price.,negative,price: negative
"Five stars, will buy again.",very positive,
"Five stars, will buy again.",very positive,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",very positive,
Doesn't match the description.,very negative,
Terrible customer service.,very negative,
Battery life is too short.,negative,battery: negative
Quality could be better.,neutral,
"Excellent product, highly recommend!",very positive,
Battery life is too short.,negative,battery: negative
Terrible customer service.,very negative,
"Absolutely love it, works perfectly.",very positive,
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,very positive,
"Absolutely love it, works perfectly.",very positive,
"Excellent product, highly recommend!",very positive,
Arrived late but product is good.,positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",very positive,
"Five stars, will buy again.",very positive,
"Absolutely love it, works perfectly.",very positive,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Quality could be better.,neutral,
"Excellent product, highly recommend!",very positive,
"Excellent product, highly recommend!",very positive,
"Excellent product, highly recommend!",very positive,
Doesn't match the description.,very negative,
"Absolutely love it, works perfectly.",very positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Terrible customer service.,very negative,
Arrived late but product is good.,positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",very positive,
"Absolutely love it, works perfectly.",very positive,
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,positive,
Quality could be better.,neutral,
"Five stars, will buy again.",very positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Five stars, will buy again.",very positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
Doesn't match the description.,very negative,
"Five stars, will buy again.",very positive,
"Absolutely love it, works perfectly.",very positive,
Quality could be better.,neutral,
"Excellent product, highly recommend!",very positive,
Doesn't match the description.,very negative,
"Excellent product, highly recommend!",very positive,
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,positive,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",very positive,
Terrible customer service.,very negative,
Amazing features and easy to use.,very positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Arrived late but product is good.,positive,
Terrible customer service.,very negative,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Quality could be better.,neutral,
Battery life is too short.,negative,battery: negative
Terrible customer service.,very negative,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",very positive,
Terrible customer service.,very negative,
Amazing features and easy to use.,very positive,
Doesn't match the description.,very negative,
"Five stars, will buy again.",very positive,
Arrived late but product is good.,positive,
Doesn't match the description.,very negative,
"Excellent product, highly recommend!",very positive,
"Excellent product, highly recommend!",very positive,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",very positive,
"Excellent product, highly recommend!",very positive,
"Absolutely love it, works perfectly.",very positive,
"Absolutely love it, works perfectly.",very positive,
Battery life is too short.,negative,battery: negative
Doesn't match the description.,very negative,
Doesn't match the description.,very negative,
Quality could be better.,neutral,
Amazing features and easy to use.,very positive,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
"Absolutely love it, works perfectly.",very positive,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
"Absolutely love it, works perfectly.",very positive,
Arrived late but product is good.,positive,
Terrible customer service.,very negative,
"Excellent product, highly recommend!",very positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",very positive,
Quality could be better.,neutral,
Quality could be better.,neutral,
Terrible customer service.,very negative,
Terrible customer service.,very negative,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",very positive,
Battery life is too short.,negative,battery: negative
Quality could be better.,neutral,
Amazing features and easy to use.,very positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",very positive,
Doesn't match the description.,very negative,
Terrible customer service.,very negative,
Arrived late but product is good.,positive,
"Absolutely love it, works perfectly.",very positive,
Doesn't match the description.,very negative,
Terrible customer service.,very negative,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",very positive,
Arrived late but product is good.,positive,
"Five stars, will buy again.",very positive,
Doesn't match the description.,very negative,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",very positive,
Amazing features and easy to use.,very positive,
"Five stars, will buy again.",very positive,
Quality could be better.,neutral,
Doesn't match the description.,very negative,
Doesn't match the description.,very negative,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Terrible customer service.,very negative,
Doesn't match the description.,very negative,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",very positive,
Doesn't match the description.,very negative,
Battery life is too short.,negative,battery: negative
Terrible customer service.,very negative,
Quality could be better.,neutral,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Doesn't match the description.,very negative,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Quality could be better.,neutral,
"Absolutely love it, works perfectly.",very positive,
"Excellent product, highly recommend!",very positive,
"Excellent product, highly recommend!",very positive,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Terrible customer service.,very negative,
"Five stars, will buy again.",very positive,
"Excellent product, highly recommend!",very positive,
Amazing features and easy to use.,very positive,
Not worth the price.,negative,price: negative
"Five stars, will buy again.",very positive,
Terrible customer service.,very negative,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",very positive,
Not worth the price.,negative,price: negative
Amazing features and easy to use.,very positive,
"Five stars, will buy again.",very positive,
Battery life is too short.,negative,battery: negative
Quality could be better.,neutral,
Doesn't match the description.,very negative,
Arrived late but product is good.,positive,
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",very positive,
Quality could be better.,neutral,
"Five stars, will buy again.",very positive,
Amazing features and easy to use.,very positive,
Terrible customer service.,very negative,
"Five stars, will buy again.",very positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",very positive,
"Excellent product, highly recommend!",very positive,
Terrible customer service.,very negative,
Amazing features and easy to use.,very positive,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
Doesn't match the description.,very negative,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",very positive,
Quality could be better.,neutral,
"Five stars, will buy again.",very positive,
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",very positive,
Doesn't match the description.,very negative,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Terrible customer service.,very negative,
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,very positive,
Doesn't match the description.,very negative,
Terrible customer service.,very negative,
Not worth the price.,negative,price: negative
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",very positive,
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,very positive,
Terrible customer service.,very negative,
Amazing features and easy to use.,very positive,
Quality could be better.,neutral,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Doesn't match the description.,very negative,
Amazing features and easy to use.,very positive,
"Absolutely love it, works perfectly.",very positive,
"Five stars, will buy again.",very positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",very positive,
"Excellent product, highly recommend!",very positive,
"Absolutely love it, works perfectly.",very positive,
Not worth the price.,negative,price: negative
Quality could be better.,neutral,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Doesn't match the description.,very negative,
"Absolutely love it, works perfectly.",very positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,positive,
Battery life is too short.,negative,battery: negative
Quality could be better.,neutral,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Doesn't match the description.,very negative,
Amazing features and easy to use.,very positive,
"Five stars, will buy again.",very positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",very positive,
"Excellent product, highly recommend!",very positive,
Arrived late but product is good.,positive,
Quality could be better.,neutral,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",very positive,
Doesn't match the description.,very negative,
Doesn't match the description.,very negative,
"Excellent product, highly recommend!",very positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,very positive,
Quality could be better.,neutral,
Terrible customer service.,very negative,
"Absolutely love it, works perfectly.",very positive,
Battery life is too short.,negative,battery: negative
Terrible customer service.,very negative,
Amazing features and easy to use.,very positive,
"Five stars, will buy again.",very positive,
Terrible customer service.,very negative,
"Absolutely love it, works perfectly.",very positive,
Terrible customer service.,very negative,
Doesn't match the description.,very negative,
Doesn't match the description.,very negative,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",very positive,
Terrible customer service.,very negative,
Terrible customer service.,very negative,
Doesn't match the description.,very negative,
Quality could be better.,neutral,
"Absolutely love it, works perfectly.",very positive,
"Absolutely love it, works perfectly.",very positive,
Terrible customer service.,very negative,
Quality could be better.,neutral,
Battery life is too short.,negative,battery: negative
Doesn't match the description.,very negative,
Doesn't match the description.,very negative,
Arrived late but product is good.,positive,
Doesn't match the description.,very negative,
Amazing features and easy to use.,very positive,
"Absolutely love it, works perfectly.",very positive,
Terrible customer service.,very negative,
Terrible customer service.,very negative,
Terrible customer service.,very negative,
"Excellent product, highly recommend!",very positive,
Terrible customer service.,very negative,
Amazing features and easy to use.,very positive,
"Excellent product, highly recommend!",very positive,
Quality could be better.,neutral,
Terrible customer service.,very negative,
"Excellent product, highly recommend!",very positive,
Battery life is too short.,negative,battery: negative
