review,sentiment,aspects
Not worth the price.,neutral,price: neutral
"Five stars, will buy again.",neutral,
"Five stars, will buy again.",neutral,
Arrived late but product is good.,neutral,
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Battery life is too short.,neutral,battery: neutral
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
Terrible customer service.,neutral,
Battery life is too short.,neutral,battery: neutral
Quality could be better.,neutral,
"Excellent product, highly recommend!",neutral,
Battery life is too short.,neutral,battery: neutral
Terrible customer service.,neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,neutral,battery: neutral
Amazing features and easy to use.,neutral,
"Absolutely love it, works perfectly.",neutral,
"Excellent product, highly recommend!",neutral,
Arrived late but product is good.,neutral,
Not worth the price.,neutral,price: neutral
"Absolutely love it, works perfectly.",neutral,
"Five stars, will buy again.",neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,neutral,battery: neutral
Not worth the price.,neutral,price: neutral
Quality could be better.,neutral,
"Excellent product, highly recommend!",neutral,
"Excellent product, highly recommend!",neutral,
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
"Absolutely love it, works perfectly.",neutral,
Not worth the price.,neutral,price: neutral
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Terrible customer service.,neutral,
Arrived late but product is good.,neutral,
Not worth the price.,neutral,price: neutral
Battery life is too short.,neutral,battery: neutral
"Absolutely love it, works perfectly.",neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,neutral,battery: neutral
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
"Five stars, will buy again.",neutral,
Not worth the price.,neutral,price: neutral
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
Not worth the price.,neutral,price: neutral
Battery life is too short.,neutral,battery: neutral
"Five stars, will buy again.",neutral,
Battery life is too short.,neutral,battery: neutral
Battery life is too short.,neutral,battery: neutral
Doesn't match the description.,neutral,
"Five stars, will buy again.",neutral,
"Absolutely love it, works perfectly.",neutral,
Quality could be better.,neutral,
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
"Excellent product, highly recommend!",neutral,
Battery life is too short.,neutral,battery: neutral
Arrived late but product is good.,neutral,
Not worth the price.,neutral,price: neutral
"Excellent product, highly recommend!",neutral,
Terrible customer service.,neutral,
Amazing features and easy to use.,neutral,
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Arrived late but product is good.,neutral,
Terrible customer service.,neutral,
Not worth the price.,neutral,price: neutral
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
Arrived late but product is good.,neutral,
Arrived late but product is good.,neutral,
Amazing features and easy to use.,neutral,
Quality could be better.,neutral,
Battery life is too short.,neutral,battery: neutral
Terrible customer service.,neutral,
Quality could be better.,neutral,
Not worth the price.,neutral,price: neutral
"Absolutely love it, works perfectly.",neutral,
Terrible customer service.,neutral,
Amazing features and easy to use.,neutral,
Doesn't match the description.,neutral,
"Five stars, will buy again.",neutral,
Arrived late but product is good.,neutral,
Doesn't match the description.,neutral,
"Excellent product, highly recommend!",neutral,
"Excellent product, highly recommend!",neutral,
Not worth the price.,neutral,price: neutral
"Excellent product, highly recommend!",neutral,
"Excellent product, highly recommend!",neutral,
"Absolutely love it, works perfectly.",neutral,
"Absolutely love it, works perfectly.",neutral,
Battery life is too short.,neutral,battery: neutral
Doesn't match the description.,neutral,
Doesn't match the description.,neutral,
Quality could be better.,neutral,
Amazing features and easy to use.,neutral,
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
"Absolutely love it, works perfectly.",neutral,
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
"Absolutely love it, works perfectly.",neutral,
Arrived late but product is good.,neutral,
Terrible customer service.,neutral,
"Excellent product, highly recommend!",neutral,
Arrived late but product is good.,neutral,
"Excellent product, highly recommend!",neutral,
Quality could be better.,neutral,
Quality could be better.,neutral,
Terrible customer service.,neutral,
Terrible customer service.,neutral,
Not worth the price.,neutral,price: neutral
Battery life is too short.,neutral,battery: neutral
Battery life is too short.,neutral,battery: neutral
"Excellent product, highly recommend!",neutral,
Battery life is too short.,neutral,battery: neutral
Quality could be better.,neutral,
Amazing features and easy to use.,neutral,
Battery life is too short.,neutral,battery: neutral
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
Terrible customer service.,neutral,
Arrived late but product is good.,neutral,
"Absolutely love it, works perfectly.",neutral,
Doesn't match the description.,neutral,
Terrible customer service.,neutral,
Battery life is too short.,neutral,battery: neutral
"Excellent product, highly recommend!",neutral,
Arrived late but product is good.,neutral,
"Five stars, will buy again.",neutral,
Doesn't match the description.,neutral,
Battery life is too short.,neutral,battery: neutral
"Excellent product, highly recommend!",neutral,
Amazing features and easy to use.,neutral,
"Five stars, will buy again.",neutral,
Quality could be better.,neutral,
Doesn't match the description.,neutral,
Doesn't match the description.,neutral,
Arrived late but product is good.,neutral,
Arrived late but product is good.,neutral,
Quality could be better.,neutral,
Terrible customer service.,neutral,
Doesn't match the description.,neutral,
Arrived late but product is good.,neutral,
"Excellent product, highly recommend!",neutral,
Doesn't match the description.,neutral,
Battery life is too short.,neutral,battery: neutral
Terrible customer service.,neutral,
Quality could be better.,neutral,
Quality could be better.,neutral,
Not worth the price.,neutral,price: neutral
Not worth the price.,neutral,price: neutral
Arrived late but product is good.,neutral,
Arrived late but product is good.,neutral,
Doesn't match the description.,neutral,
